COD_UF;COD_MUN;COD_ESPECIE;LATITUDE;LONGITUDE;NV_GEO_COORD
22;2208304;1;-3.928767;-41.707589;1
22;2208304;6;-3.928773;-41.707429;1
22;2208304;6;-3.928763;-41.707466;1
22;2208304;6;-3.929269;-41.707507;1
22;2208304;1;-3.929195;-41.707519;1
22;2208304;1;-3.929448;-41.707540;1
22;2208304;1;-3.929719;-41.707618;1
22;2208304;1;-3.929857;-41.707644;1
22;2208304;1;-3.929991;-41.707669;1
22;2208304;1;-3.930051;-41.707670;1
22;2208304;1;-3.930230;-41.707727;1
22;2208304;6;-3.930230;-41.707727;1
22;2208304;1;-3.930408;-41.707745;1
22;2208304;1;-3.930304;-41.707894;1
22;2208304;1;-3.930388;-41.707772;1
22;2208304;1;-3.931081;-41.707878;1
22;2208304;1;-3.931246;-41.708086;1
22;2208304;6;-3.931442;-41.708216;1
22;2208304;6;-3.931879;-41.708003;1
22;2208304;6;-3.931958;-41.707991;1
22;2208304;6;-3.932040;-41.708038;1
22;2208304;6;-3.932056;-41.708022;1
22;2208304;6;-3.932106;-41.707964;1
22;2208304;6;-3.932131;-41.707999;1
22;2208304;6;-3.932135;-41.708176;1
22;2208304;6;-3.932090;-41.708298;1
22;2208304;6;-3.932354;-41.708099;1
22;2208304;1;-3.931453;-41.708413;1
22;2208304;1;-3.931720;-41.708361;1
22;2208304;6;-3.931835;-41.708317;1
22;2208304;6;-3.931862;-41.708382;1
22;2208304;1;-3.931932;-41.708382;1
22;2208304;6;-3.931969;-41.708392;1
22;2208304;1;-3.932007;-41.708386;1
22;2208304;6;-3.932016;-41.708390;1
22;2208304;6;-3.932054;-41.708393;1
22;2208304;6;-3.932147;-41.708413;1
22;2208304;6;-3.932181;-41.708413;1
22;2208304;6;-3.932248;-41.708442;1
22;2208304;6;-3.932284;-41.708449;1
22;2208304;6;-3.931890;-41.708324;1
22;2208304;6;-3.932414;-41.708599;1
22;2208304;6;-3.932408;-41.708609;1
22;2208304;6;-3.932462;-41.708598;1
22;2208304;6;-3.932479;-41.708580;1
22;2208304;6;-3.932470;-41.708559;1
22;2208304;6;-3.932245;-41.708649;1
22;2208304;6;-3.932189;-41.708640;1
22;2208304;6;-3.932165;-41.708636;1
22;2208304;6;-3.932128;-41.708614;1
22;2208304;6;-3.932095;-41.708604;1
22;2208304;6;-3.932110;-41.708611;1
22;2208304;6;-3.931980;-41.708588;1
22;2208304;6;-3.931938;-41.708583;1
22;2208304;6;-3.931927;-41.708565;1
22;2208304;6;-3.931907;-41.708568;1
22;2208304;6;-3.931828;-41.708593;1
22;2208304;6;-3.931827;-41.708584;1
22;2208304;6;-3.931824;-41.708598;1
22;2208304;6;-3.931323;-41.708574;1
22;2208304;6;-3.931330;-41.708597;1
22;2208304;6;-3.931285;-41.708601;1
22;2208304;6;-3.931191;-41.708645;1
22;2208304;6;-3.931255;-41.708742;1
22;2208304;6;-3.931322;-41.708649;1
22;2208304;1;-3.931195;-41.708712;1
22;2208304;1;-3.931723;-41.708586;1
22;2208304;6;-3.931421;-41.708820;1
22;2208304;6;-3.931427;-41.708829;1
22;2208304;6;-3.931446;-41.708877;1
22;2208304;6;-3.931427;-41.708901;1
22;2208304;6;-3.931481;-41.708900;1
22;2208304;1;-3.931545;-41.708925;1
22;2208304;6;-3.931588;-41.708952;1
22;2208304;6;-3.931723;-41.708914;1
22;2208304;1;-3.931852;-41.709042;1
22;2208304;5;-3.931983;-41.709015;1
22;2208304;1;-3.932141;-41.708987;1
22;2208304;6;-3.931936;-41.708918;1
22;2208304;1;-3.931240;-41.709241;1
22;2208304;6;-3.931256;-41.709077;1
22;2208304;6;-3.931664;-41.708930;1
22;2208304;6;-3.931768;-41.708940;1
22;2208304;6;-3.931823;-41.708950;1
22;2208304;6;-3.931862;-41.708967;1
22;2208304;6;-3.931958;-41.708967;1
22;2208304;1;-3.931935;-41.708983;1
22;2208304;1;-3.931990;-41.708959;1
22;2208304;6;-3.932067;-41.709012;1
22;2208304;6;-3.932301;-41.709255;1
22;2208304;6;-3.932284;-41.709246;1
22;2208304;6;-3.932252;-41.709258;1
